Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram,YouTube,Широта,Долгота,2GIS URL
Кухня,семейное кафе,Кафе; Доставка готовых блюд,"улица Молодой Гвардии, 96",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+03:00,4.6,28,88332225544,,,,,,,https://vk.com/cafekuhnya43,,,,,,,58.597382,49.646583,https://2gis.com/firm/70000001007429479
Мангал,,Кафе; Доставка готовых блюд,"улица Романа Ердякова, 14а",,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,2.3,65,88332222235,88332430045,,,http://shashlyk-mangal.ru/kirov,,,,,,,,,,58.607867,49.636411,https://2gis.com/firm/70000001037507588
Грандъ Буфетъ,кафе,Кафе,"улица Воровского, 21а",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00 (служба доставки: пн-вс 10:00-00:00),+03:00,4.0,48,88332222662,88332221210,,,http://grandbufet.ru,,,https://vk.com/grandbuffet,,,,,,,58.594104,49.674751,https://2gis.com/firm/8163302605673736
Мануфактура,лофт-бар,Кафе; Бары,"Заводская улица, 41",1 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-24:00,+03:00,2.8,34,88332455161,,,,http://manufaktura43.ru,,,https://vk.com/club47374041,,,,,,,58.62169,49.681287,https://2gis.com/firm/8163302605699712
Здесь Был Пьер,гастробар,Кафе,"улица Воровского, 78",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,48,89229682341,88332490309,,,http://selipoeli.ru/gastrobar,,,,,,,,,,58.592974,49.632196,https://2gis.com/firm/70000001041094224
Лампа Грина,книжный клуб,Кафе; Книги; Кофейни; Кафе-кондитерские; Кондитерские изделия,"Московская улица, 3",1002 помещение,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,5.0,9,89127377565,,,,,,,https://vk.com/greenlamp43,https://wa.me/79127377565,,viber://chat/?number=79127377565,,,,58.604035,49.683965,https://2gis.com/firm/70000001065498561
Aroma Rooms Bar,,Бары; Кафе,"Октябрьский проспект, 92",3 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,3.1,22,88332444170,,,,,,,https://vk.com/aroma_rooms,,,,,,,58.592538,49.658682,https://2gis.com/firm/70000001019008366
БиZон,кафе-шашлычная,Кафе,"Московская улица, 168",,610048,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.0,7,88332442568,89127342568,,,,,,https://vk.com/vostochnyipir,,,,,,,58.599568,49.581488,https://2gis.com/firm/70000001061944929
Jackie Brown,пивной паб,Бары; Кафе,"улица Карла Маркса, 101",цокольный этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-03:00; Вт: 11:00-03:00; Ср: 11:00-03:00; Чт: 11:00-03:00; Пт: 11:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+03:00,4.2,49,88332462533,,,,,,,https://vk.com/jbpub,,,,,,,58.59456,49.667428,https://2gis.com/firm/8163303606097679
БарЭль,,Бары; Кафе,"Московская улица, 52/2",цокольный этаж,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-02:00,+03:00,4.4,52,88332448579,89127348579,,,http://vyatichbar.ru,,,https://vk.com/barel43,,,,,,,58.603326,49.659929,https://2gis.com/firm/70000001022184436
Don`t worry papa,,Бары; Кафе; Банкетные залы,"улица Северное кольцо, 48",,610006,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пт: 20:00-05:00; Сб: 20:00-05:00,+03:00,2.5,78,88332492120,,,,,,,https://vk.com/papabarkirov,,,,,,,58.626216,49.652592,https://2gis.com/firm/70000001021228120
Угольки,гриль-бар,Кафе,"улица Менделеева, 21",2 этаж,610048,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.3,55,88332450388,88332415343,,,http://selipoeli.ru,,,https://vk.com/selipoeli,,,,,,,58.601771,49.60192,https://2gis.com/firm/70000001025952921
Сушилка,удобные кафе,Доставка готовых блюд; Кафе; Суши-бары; Пиццерии,"улица Карла Маркса, 127",1 этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,156,88332444245,,,,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,,,https://vk.com/sushipizzi,,,,,,,58.590916,49.668786,https://2gis.com/firm/8163302605623892
Мадлиани Хинкали и вино,,Кафе; Пекарни,"Московская улица, 25а",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,3.9,36,88332411455,,,,,,,https://vk.com/hinkali_vino,,,,,,,58.603806,49.675204,https://2gis.com/firm/70000001055399187
Brusnika,кафе,Кафе,"улица Ленина, 82/1",1002 помещение; 1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.3,33,88332792252,,,,,,,https://vk.com/cafe_brusnika43,,,,,,,58.602278,49.681642,https://2gis.com/firm/70000001051992104
CHILLim Cyber Lounge,,Компьютерные клубы; Кафе; Клубы видеоигр; Центры виртуальной реальности,"Московская улица, 54",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,41,89127349005,,,chillimcyber@gmail.com,http://chillimcyber.online/,,,https://vk.com/chillimcyber,,,,,,,58.603161,49.658216,https://2gis.com/firm/70000001047676860
Театральное,кафе,Кафе,"улица Карла Маркса, 68",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.9,17,88332640801,,,,http://teatralnoe.com,,,,,,,,,,58.602961,49.66954,https://2gis.com/firm/8163302605592609
Santa Mozzarella!,кафе,Кафе; Пиццерии,"улица Воровского, 10",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.3,33,88332754102,,,,http://pizzasanta.ru,,,https://vk.com/pizzasantamozzarella,,,,,,,58.593903,49.679244,https://2gis.com/firm/70000001055612445
SOLO Центральный,караоке-клуб,Караоке-залы; Кафе; Ночные клубы; Бары,"улица Карла Маркса, 81",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 19:00-07:00; Вт: 19:00-07:00; Ср: 19:00-07:00; Чт: 19:00-07:00; Пт: 19:00-07:00; Сб: 19:00-07:00; Вс: 19:00-07:00,+03:00,3.8,30,88332210005,,,,,,,https://vk.com/karaoke_solokirov,,,,,,,58.598953,49.66804,https://2gis.com/firm/70000001024628842
Джари,грузинское бистро,Кафе,"Луганская улица, 53/2",2 этаж,610044,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.7,290,88332435656,,,,,,,https://vk.com/djari_bistro_kirov,,,,,,,58.616894,49.595895,https://2gis.com/firm/70000001053332944
Угольки,гриль-бар,Кафе,"Профсоюзная улица, 68",цокольный этаж,610020,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,29,89229950382,,,,http://selipoeli.ru,,,https://vk.com/selipoeli,,,,,,,58.614754,49.666166,https://2gis.com/firm/70000001030450802
Атмосфера,рок-бар,Бары; Караоке-залы; Кафе; Пиццерии,"Советская улица, 51",вход со двора,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Ср: 19:00-02:00; Чт: 19:00-02:00; Пт: 19:00-04:00; Сб: 19:00-04:00; Вс: 19:00-02:00,+03:00,4.4,53,89536782768,,,,,,,https://vk.com/atmosfera_pub_kirov,,,,,,,58.61341,49.668846,https://2gis.com/firm/70000001023915131
Мох,кафе-бар,Кафе,"улица Карла Маркса, 18а",3 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-21:00,+03:00,5.0,6,88332777377,89229273777,,,http://moh-kirov.ru,,,https://vk.com/kafe_mox,https://wa.me/79229273777,,,,,,58.614146,49.667574,https://2gis.com/firm/70000001062535068
