Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
"Черепаха, банно-оздоровительный комплекс",Бани / Сауны,,Час 850–1250 ₽,"улица Менделеева, 11","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (705) 972-06-72,,https://i7.photo.2gis.com/main/branch/58/8163302605613228/common,8163302605613228,58.607098,49.596671
"Море парк, термально-оздоровительный комплекс",Бани / Сауны,,,"улица Некрасова, 49","['06:00-22:00', '06:00-22:00', '06:00-22:00', '06:00-22:00', '06:00-22:00', '08:00-22:00', '08:00-22:00']",+7 (8332) 44-49-99,https://parkmore.ru/,https://i2.photo.2gis.com/main/branch/58/70000001038160274/common,70000001038160274,58.582702,49.631701
"Шикадам, сауна",Бани / Сауны,,Час 600 ₽,"2-й Кирпичный переулок, 2а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 53-53-02,http://сауна-шикадам.рф/,https://i1.photo.2gis.com/main/branch/58/8163302605711737/common,8163302605711737,58.609573,49.633807
"Sky, гостиничный комплекс",Гостиницы,,,"Луганская улица, 49/2","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",,,https://i2.photo.2gis.com/main/branch/58/8163303606078336/common,8163303606078336,58.624421,49.604068
"Сауна для друзей, оздоровительный центр",Бани / Сауны,,Час 700 ₽,"улица Романа Ердякова, 14а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (982) 390-20-03,https://sauna-dlya-druzej.ru/?utm_source=yandex_maps,https://i9.photo.2gis.com/main/branch/58/8163302605588687/common,8163302605588687,58.607851,49.636754
"Marmara, SPA-комплекс",SPA-процедуры,,,"улица Герцена, 88/2","['08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00', '08:00-23:00']",+7 (8332) 29-54-54,https://marmara-spa.com/,https://i1.photo.2gis.com/main/branch/58/70000001019485746/common,70000001019485746,58.599543,49.644851
"Вятские бани, общественная баня",Бани / Сауны,,,"улица Ленина, 170Б","['10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00']",+7 (912) 734-96-96,http://вятские-бани.рф/,https://i7.photo.2gis.com/main/branch/58/70000001040716594/common,70000001040716594,58.575611,49.685355
ГлавБани,Бани / Сауны,,,"улица Романа Ердякова, 50 ст1","['10:00-23:00', '10:00-23:00', '10:00-23:00', '10:00-23:00', '10:00-23:00', '10:00-23:00', '10:00-23:00']",+7 (919) 517-77-07,,https://i6.photo.2gis.com/main/branch/58/70000001032565686/common,70000001032565686,58.617373,49.633987
"Сосновый, парк семейного отдыха",Базы отдыха,,,"Новая улица, 2а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (912) 826-73-12,,https://i5.photo.2gis.com/main/branch/58/70000001021118953/common,70000001021118953,58.64998,49.433283
Вятские центральные бани,Бани / Сауны,,Час 300 ₽,"улица Молодой Гвардии, 42в","['10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00', '10:00-22:00']",+7 (8332) 64-28-19,,https://i5.photo.2gis.com/main/branch/58/8163302605588061/common,8163302605588061,58.598075,49.670455
"Авалон, банный комплекс",Бани / Сауны,,Час 1200 ₽,"Заводская улица, 1/1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 75-15-03,,https://i9.photo.2gis.com/main/branch/58/70000001007542783/common,70000001007542783,58.629997,49.668687
"Мыльни Вятские, семейно-оздоровительный комплекс",Бани / Сауны,,Час 850–1600 ₽,"Милицейская улица, 2а/1","['09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00']",+7 (8332) 77-99-88,http://kirov.vabani.ru/,https://i4.photo.2gis.com/main/branch/58/70000001017561227/common,70000001017561227,58.586966,49.690224
"Парус, банный комплекс",Бани / Сауны,,Час 500–1500 ₽,"Московская улица, 4","['15:00-08:00', '15:00-08:00', '15:00-08:00', '15:00-08:00', '15:00-08:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 24-70-94,,https://i8.photo.2gis.com/main/branch/58/70000001006494259/common,70000001006494259,58.6035,49.682727
"Pena, клуб-сауна",Бани / Сауны,,Час 590 ₽,"Хлебозаводской проезд, 5","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 22-82-82,http://kirovsauna.ru/,https://i2.photo.2gis.com/images/branch/0/30258560066705336_e4a3.jpg,70000001017991799,58.600698,49.642966
"Венеция, сауна",Бани / Сауны,,Час 1100 ₽,"Рейдовая улица, 19а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",,,https://i4.photo.2gis.com/main/branch/58/8163302605587683/common,8163302605587683,58.576391,49.694877
"Усадьба Хлыновская, семейный оздоровительный центр",SPA-процедуры,,,"улица Блюхера, 2/2а","['09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00']",+7 (8332) 37-71-01,http://www.usadbahlynov.ru/,https://i6.photo.2gis.com/main/branch/58/8163302605592900/common,8163302605592900,58.585769,49.690033
"Соль, спа-сауна",Бани / Сауны,,Час 590 ₽,"Пролетарская улица, 43а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 37-66-22,http://kirovsauna.ru/,https://i2.photo.2gis.com/main/branch/58/70000001019468292/common,70000001019468292,58.590187,49.667706
"Распутин, сауна",Бани / Сауны,,Час 195 ₽,"Пристанская улица, 1 к1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 38-38-09,http://sauna-rasputin.ru/,https://i6.photo.2gis.com/main/branch/58/70000001006369272/common,70000001006369272,58.608691,49.689007
"Контраст, база отдыха",Базы отдыха,,,"Лучистая улица, 1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 78-54-66,https://relax-kirov.ru/contrast/,https://i1.photo.2gis.com/main/branch/58/8163302605596363/common,8163302605596363,58.548419,49.490215
"А1, сауна",Бани / Сауны,,Час 700–1000 ₽,"Луганская улица, 49/4","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 42-03-07,https://a1sauna.ru/,http://i5.photo.2gis.com/main/branch/58/70000001040571795/common,70000001040571795,58.622524,49.601719
"Сельмашевские бани, банный комплекс",Бани / Сауны,,Час 700 ₽,"улица Грибоедова, 15","['09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00', '09:00-22:00']",,,https://i9.photo.2gis.com/main/branch/58/8163302605587437/common,8163302605587437,58.581538,49.620505
"Осьминог, сауна",Бани / Сауны,,Час 900–1200 ₽,"улица Романа Ердякова, 42а/1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 53-02-93,https://sauna43.ru/,https://i7.photo.2gis.com/main/branch/58/8163302605586740/common,8163302605586740,58.615499,49.636512
"Эра-прим, сауна",Бани / Сауны,,Час 500–1300 ₽,"улица Свободы, 95","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (982) 391-03-98,http://eraprim.ru/,https://i1.photo.2gis.com/main/branch/58/8163302605593443/common,8163302605593443,58.597763,49.676775
"Гольфстрим, сауна",Бани / Сауны,,Час 1100–1500 ₽,"улица Романа Ердякова, 42а/8","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (953) 677-77-66,,https://i4.photo.2gis.com/main/branch/58/8163302605588262/common,8163302605588262,58.614695,49.640221
"Бани у Сани, банный комплекс",Бани / Сауны,,Час 500 ₽,"территория СТ Железнодорожник-Радужный, 27","['12:00-24:00', '12:00-24:00', '12:00-24:00', '12:00-24:00', '12:00-24:00', '12:00-24:00', '12:00-24:00']",+7 (8332) 75-87-88,http://бани-у-сани.рф/,https://i1.photo.2gis.com/main/branch/58/70000001035495988/common,70000001035495988,58.491854,49.647468
"Fishka, сауна",Бани / Сауны,,Час 600 ₽,"Московская улица, 158","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 26-20-30,https://sauna-nomera43.ru/,https://i1.photo.2gis.com/main/branch/58/8163303606105150/common,8163303606105150,58.601303,49.58914
Praga,Гостиницы,,,"улица Щорса, 68/2","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 44-91-91,http://www.razvlekis-kirov.ru/catalog/saunas/praga_kirov/,https://i3.photo.2gis.com/main/branch/58/70000001020708328/common,70000001020708328,58.57728,49.592079
"Атлантида, сауна",Бани / Сауны,,Час 1000–1400 ₽,"улица Романа Ердякова, 42","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 53-14-14,,https://i4.photo.2gis.com/main/geo/58/8163409979781614/view,8163302605674142,58.616397,49.636139
"Черная Жемчужина, оздоровительный центр",Бани / Сауны,,Час 600 ₽,"улица Лепсе, 62","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 53-80-90,http://sauna-chernaya-zhemchuzhina.ru/,https://i7.photo.2gis.com/main/branch/58/8163302605593229/common,8163302605593229,58.607986,49.615412
Баня на дровах в Ганино,Бани / Сауны,,Час 220 ₽,"Западная улица, 11","['08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00', '08:00-22:00']",+7 (8332) 47-85-11,http://banya-ganino.jimdo.com/,https://i1.photo.2gis.com/main/branch/58/8163302605753349/common,8163302605753349,58.645626,49.55021
"Штурвал, сауна",Бани / Сауны,,Час 300–900 ₽,"Орловская улица, 37","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (922) 942-55-50,,https://i0.photo.2gis.com/main/branch/58/70000001019468049/common,70000001019468049,58.59648,49.674822
"Аквелия, сауна",Бани / Сауны,,Час 800 ₽,"Семаковская улица, 41а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 36-50-60,https://sauna-akvelia.ru/,https://i1.photo.2gis.com/main/branch/58/70000001055786784/common,70000001055786784,58.622486,49.663287
