Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Веб-сайт,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
BeeBL Lounge,центр паровых коктейлей,Центры паровых коктейлей,"улица Азина, 15",Цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 16:00-01:00; Вт: 16:00-01:00; Ср: 16:00-01:00; Чт: 16:00-01:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-01:00,+03:00,4.9,49,88332441120,,,https://twitter.com/beebllounge,https://vk.com/beebl_lounge,,,,,https://youtube.com/channel/UCcmtnLT_VUBTautb8n1r5Tw,58.585648,49.677335,https://2gis.com/firm/70000001039882684
HookahHub,,Центры паровых коктейлей,"Преображенская улица, 79",1 этаж,610020,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-01:00,+03:00,5.0,6,88332790600,89536968041,,,,https://wa.me/79536968041,,,,,58.60559,49.661164,https://2gis.com/firm/70000001041157357
Modo lounge,,Центры паровых коктейлей,"улица Молодой Гвардии, 44",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,5.0,1,89127343040,88332443040,,,https://vk.com/modolounge,,,,,,58.598326,49.667892,https://2gis.com/firm/70000001045521575
Avdeev Lounge,центр паровых коктейлей,Центры паровых коктейлей,"Московская улица, 15",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,5.0,6,88332777400,,,,https://vk.com/public216265516,https://wa.me/79226638765,,,,,58.603919,49.678791,https://2gis.com/firm/70000001065254610
Favorite dreams,центр паровых коктейлей,Центры паровых коктейлей,"Производственная улица, 1а",1 этаж,610048,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 20:00-06:00; Вт: 20:00-06:00; Ср: 20:00-06:00; Чт: 20:00-06:00; Пт: 20:00-06:00; Сб: 20:00-07:00; Вс: 20:00-07:00,+03:00,3.6,8,89638868686,89123635750,,,,https://wa.me/79638868686,https://wa.me/79123635750,,,,58.601577,49.611415,https://2gis.com/firm/70000001033820008
Cinema Lounge,центр паровых коктейлей,Центры паровых коктейлей,"проспект Строителей, 11",цокольный этаж,610048,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 17:00-01:00; Вт: 17:00-01:00; Ср: 17:00-01:00; Чт: 17:00-01:00; Пт: 17:00-03:00; Сб: 17:00-03:00; Вс: 17:00-01:00,+03:00,3.5,29,89229221818,,,,https://vk.com/cinemakirov43,https://wa.me/79229221818,,,https://t.me/cinemalounge,,58.598013,49.590054,https://2gis.com/firm/70000001025120191
Churchill lounge,центр паровых коктейлей,Центры паровых коктейлей,"улица Карла Маркса, 127",цокольный этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 16:00-01:00; Вт: 16:00-01:00; Ср: 16:00-01:00; Чт: 16:00-01:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-01:00,+03:00,4.5,11,88332772477,89539472477,http://churchill43.ru,,https://vk.com/churchill43,,,,,,58.591055,49.668087,https://2gis.com/firm/70000001045478342
Chaikovsky,центр паровых коктейлей,Центры паровых коктейлей,"улица Воровского, 14",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,4.6,5,88332753374,,,,https://vk.com/public167320715,,,,,,58.593874,49.677855,https://2gis.com/firm/8163303606172776
Black bar,,Центры паровых коктейлей,"улица Андрея Упита, 16",,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-01:00; Сб: 13:00-01:00; Вс: 13:00-01:00,+03:00,5.0,19,89229333132,,,,https://vk.com/black_bar43,,,,,,58.604336,49.592007,https://2gis.com/firm/70000001045001826
Poparim,вейп-бар,Центры паровых коктейлей,"Московская улица, 12",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,5.0,1,89635538885,,,,https://vk.com/clubpoparim,,,,,,58.603524,49.676955,https://2gis.com/firm/70000001027373607
House,центр паровых коктейлей,Центры паровых коктейлей,"Комсомольская улица, 40Б",2 этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-03:00,+03:00,4.2,6,,,,,https://vk.com/hookah_house_kirov,,,,,,58.580497,49.658064,https://2gis.com/firm/70000001037879241
TopSecret89,центр паровых коктейлей,Центры паровых коктейлей,"улица Ленина, 89",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 13:00-24:00; Вт: 13:00-24:00; Ср: 13:00-24:00; Чт: 13:00-24:00; Пт: 13:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+03:00,4.8,52,88332449889,,,,,,,,,,58.597517,49.680827,https://2gis.com/firm/70000001032343993
Tooman,центр паровых коктейлей,Центры паровых коктейлей,"Солнечная улица, 17",1 этаж,610021,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,5.0,2,88332512174,,,,,,,,,,58.592958,49.614448,https://2gis.com/firm/70000001039857474
Friends,центр паровых коктейлей,Центры паровых коктейлей,"проспект Кирова, 12",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 14:00-01:00; Вт: 14:00-01:00; Ср: 14:00-01:00; Чт: 14:00-01:00; Пт: 14:00-01:00; Сб: 14:00-01:00; Вс: 14:00-01:00,+03:00,,,89005276643,,,,,,,,,,58.555485,50.031645,https://2gis.com/firm/70000001067303272
Klk,,Центры паровых коктейлей,"Первомайская улица, 4 к6",,,,,Кирово-Чепецк,Кирово-Чепецк городской округ,Кировская область,Россия,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-01:00; Сб: 13:00-01:00; Вс: 13:00-01:00,+03:00,2.6,5,89127049190,,http://business.google.com/website/klk-chep,,,,,,,,58.558155,50.040084,https://2gis.com/firm/70000001039142609
"Abir hookah, кальян-бар",,Центры паровых коктейлей,"Советская улица, 61",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+03:00,,,89226603639,,,,https://vk.com/abir_hookah,,,,,,58.733708,50.182495,https://2gis.com/firm/70000001046476186
Черепаха,,Центры паровых коктейлей,"Советская улица, 99",,,,,Слободской,Слободской городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 14:00-01:00; Вс: 14:00-01:00,+03:00,,,,,,,https://vk.com/cherepahaslob,,,,,,58.725859,50.18324,https://2gis.com/firm/70000001046476181
