Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Царь Баня,база отдыха,Базы отдыха; Бани / Сауны,"Новая улица, 14",,613118,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,88332450557,,,,https://vk.com/tzarbanya,https://wa.me/79229659697,,,,58.631655,49.812622,https://2gis.com/firm/70000001024684676
homelekom,загородный комплекс,Базы отдыха,"Графская улица, 21",,613008,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,2,88332771774,89539471774,,http://homelekom.com/relaxspa,https://vk.com/hl_relaxspa_kirov,https://wa.me/79539471774,viber://chat/?number=79539471774,,,58.497795,49.553622,https://2gis.com/firm/70000001033704580
Заборье,комплекс отдыха,Базы отдыха; Бани / Сауны; Конференц-залы / Переговорные комнаты,"1 км автодороги Киров-Бобино-Сапожнята-Шунки, 1",,613117,,,,Слободской район,Кировская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,1.0,2,88332789441,88332462680,,,https://vk.com/zaborye462680,,,,,58.65539,49.756037,https://2gis.com/firm/70000001019489154
Лесная сказка,загородный комплекс,Базы отдыха; Рестораны; Бани / Сауны; Аренда беседок; Кемпинги,"Лесная улица, 1",,613118,,,,Слободской район,Кировская область,Россия,Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-22:00,+03:00,4.8,5,88332750181,,,http://сказкакиров.рф,https://vk.com/restoranskazkakirov,,,,,58.603169,49.90169,https://2gis.com/firm/70000001006374692
Запретная зона,база отдыха,Базы отдыха,"деревня Шатники, 8",,613008,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332777608,89536952223,,,https://vk.com/zapretnaia_zona,,,,,58.513839,49.541115,https://2gis.com/firm/70000001034862145
Кутузовская,база отдыха,Базы отдыха,"Кутузовская улица, 9",,613118,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,6,88332464465 (горячая линия: пн-вс 8:00-21:00),89128264465 (горячая линия: пн-вс 8:00-21:00),,,https://vk.com/bazkutuzov,,,,,58.603646,49.904504,https://2gis.com/firm/70000001023581524
То самое Место,база отдыха,Базы отдыха,"территория Горняк ст, 62",,,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,89991001812,,,,https://vk.com/tosamoemesto43,https://wa.me/79991001812,viber://chat/?number=79991001812,https://t.me/+79991001812,,58.630936,49.756092,https://2gis.com/firm/70000001067334920
Мафия,база отдыха,Базы отдыха,"деревня Хабаровы, 25а",,610029,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89539425552,,,,https://vk.com/club216548657,https://wa.me/79539425552,viber://chat/?number=79539425552,,,58.6513,49.566947,https://2gis.com/firm/70000001065498997
Пеликан,развлекательно-оздоровительный комплекс,Базы отдыха,"Кооперативная улица, 12",,610932,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,89229951814,,,,,,,,,58.52442,49.80967,https://2gis.com/firm/70000001019470478
Наследие,база отдыха,Базы отдыха; Аренда беседок; Бани / Сауны,"Орловская улица, 52",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-16:00",+03:00,,,88332640869,89123699077,,http://nasledie43.ru,,,,,,58.595875,49.66947,https://2gis.com/firm/8163302605613869
Деревяшкин дом,база отдыха,Базы отдыха,"Прозоровская улица, 3",,613117,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89128271793,88332471793,,,https://vk.com/dom_derevyashkina,https://wa.me/79128271793,,,,58.685371,49.767214,https://2gis.com/firm/70000001045240922
Барская изба,,Бани / Сауны; Аренда коттеджей / гостевых домов,"деревня Сватково, 15а",,610926,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332784070,89226684070,89539487540,,https://vk.com/club216526549,,,,,58.536309,49.603977,https://2gis.com/firm/70000001006967402
Euphoria,загородный дом,Аренда коттеджей / гостевых домов,"Радужная улица, 1",,610902,,,,Слободской район,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,14,89195294856,,,,https://vk.com/banyaeuphoria,,,,,58.647346,49.792961,https://2gis.com/firm/70000001032106705
Прислон,парк-отель,Банкетные залы; Базы отдыха; Организация и проведение праздников,"Прислонная улица, 3",,613641,,,,Юрьянский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.5,5,89531329716,,,,https://vk.com/parkotelprislon,https://wa.me/79531329716,,,,58.738407,49.510699,https://2gis.com/firm/70000001006196989
Весёлые сосны,база отдыха,Базы отдыха,"территория Озеро Келейное, 6",,610029,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89226684024,,,,,https://wa.me/79226684024,,,,58.647859,49.50437,https://2gis.com/firm/70000001039197061
Домик-гриль,,Базы отдыха,"улица Слобода Лянгасы, 64а/1",,610047,сл. Лянгасы,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89226683974,,,,https://vk.com/domikgrill,https://wa.me/79226683974,viber://chat/?number=79226683974,,,58.638718,49.568888,https://2gis.com/firm/70000001066373766
Воробьи,центр отдыха,Базы отдыха; Бани / Сауны,"Береговая улица, 1",,613117,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,89229591649,,,,,,,,,58.691168,49.829197,https://2gis.com/firm/70000001020273480
Славянские дворы,база отдыха,Базы отдыха; Бани / Сауны,"Вятская улица, 2/1",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,1,89229075787,,,,https://vk.com/banyakirov43,,,,,58.664076,49.92293,https://2gis.com/firm/70000001064259763
На берегу,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Родниковая улица, 15",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,3,88332781519,,,,https://vk.com/baza_na_beregu,,,,,58.603562,49.947778,https://2gis.com/firm/70000001041297978
Ёлкиголки,глэмпинг,Базы отдыха; Бани / Сауны,"территория Озеро Келейное, 16",,610029,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89226680818,,,,https://vk.com/julia120783,https://wa.me/79226680818,viber://chat/?number=79226680818,https://t.me/+79226680818,,58.646447,49.506371,https://2gis.com/firm/70000001068977004
Ёлки хаус,,Аренда коттеджей / гостевых домов,"Фруктовая улица, 49/1",,613115,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,12,88332221110,89219193516,,http://kirov.elki.rent,https://vk.com/elki.rent.kirov,https://wa.me/79219193516,,https://t.me/elki_chatbot,,58.603524,49.935855,https://2gis.com/firm/70000001062916182
Домик в лесу,,Аренда коттеджей / гостевых домов,"Полевая улица, 9",,610902,,,,Слободской район,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,,,89536764833,,,,https://vk.com/domikvlesu0,https://wa.me/79127226279,,,,58.604804,49.81447,https://2gis.com/firm/70000001067841039
Усадьба Кирилловская,,Аренда коттеджей / гостевых домов; Аренда беседок,"Рождественская улица, 8а",,613118,,,,Слободской район,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.5,8,88332448818,89195177000,,http://turbaza43.ru,https://vk.com/club89277175,https://wa.me/79195177000,viber://chat/?number=79195177000,https://t.me/+79195177000,,58.606632,49.886856,https://2gis.com/firm/70000001018195528
Уют,база отдыха,Базы отдыха,"улица Космонавтов, 26",,610932,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,58.525153,49.805923,https://2gis.com/firm/70000001007233250
The Castle,,Аренда коттеджей / гостевых домов,"Кутузовская улица, 11",,613118,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,2,89229644619,,,,https://vk.com/thecastle43,,,,,58.603765,49.905578,https://2gis.com/firm/70000001007326874
Лесная сказка,база отдыха,Базы отдыха,"Октябрьский переулок, 3а",,,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,89127201155,,,,https://vk.com/club23631773,,,,,58.516033,49.983935,https://2gis.com/firm/70000001054557766
Айвенго,,Базы отдыха,,,,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332774141,,,http://aivengo43.ru,https://vk.com/aivengo43,,,,,58.367992,49.542093,https://2gis.com/firm/70000001060724019
Гагарин,центр отдыха,Базы отдыха; Аренда беседок,"территория ЦО Юбилейный, 6",,613109,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332454040,89929954040,,http://гагарин43.рф/index.php/restgagarin,,,,,,58.647398,49.88318,https://2gis.com/firm/70000001037171534
Bagat`to,представительство в городе,,"Производственная улица, 33",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+03:00,,,88332465089 (единый номер: пн-вс 9:00-21:00),89128265089 (единый номер: пн-вс 9:00-21:00),89123696089,,https://vk.com/bagattoclub,https://wa.me/79123696089,viber://chat/?number=79123696089,https://t.me/+79123696089,,58.568448,49.608963,https://2gis.com/firm/70000001007346379
Парк инженер,база отдыха,Базы отдыха,"Парковая улица, 2а",,,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89539434900,,,http://engineer-park.ru,https://vk.com/parkengineer,,,,,58.748403,50.122301,https://2gis.com/firm/70000001061529089
Bagat`to,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Стрижи-Дальние карьеры, 1",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,3,88332465089 (единый номер: пн-вс 9:00-21:00),89128265089 (единый номер: пн-вс 9:00-21:00),89123696089,,https://vk.com/bagattoclub,https://wa.me/79123696089,viber://chat/?number=79123696089,https://t.me/+79123696089,,58.412392,49.312128,https://2gis.com/firm/70000001007346413
Feel good,база отдыха,Базы отдыха; Кемпинги,"Береговая улица, 3",,613006,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,88332733303,,,,https://vk.com/feel_good43,,,,,58.475701,49.74066,https://2gis.com/firm/70000001043871324
Белая дача,загородный клуб,Базы отдыха; Бани / Сауны,"Майский посёлок, 1а",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89226613105,,,,https://vk.com/club78059214,https://wa.me/79226613105,,,,58.413747,49.342145,https://2gis.com/firm/70000001044628171
Красный Рак,база отдыха,Базы отдыха,"Береговая, 14а",,,,,,Оричевский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,2,88332455565,,,,https://vk.com/krak43,,,,,58.278335,49.527674,https://2gis.com/firm/70000001039111486
Алые паруса,база отдыха,Базы отдыха,"посёлок Кстининского дома отдыха, 30",,613012,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89642546171,88332699609,,,,https://wa.me/79642546171,,,,58.417008,49.747866,https://2gis.com/firm/70000001045707695
Мишкин дом,база отдыха,Аренда коттеджей / гостевых домов,"Янтарная улица, 2",,,,,,Слободской район,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,,,88332261366,89123733034,,,https://vk.com/mishkin_dom_kirov,,viber://chat/?number=79123733034,,,58.624355,49.865292,https://2gis.com/firm/70000001057583901
Обитель,гостевой дом,Аренда коттеджей / гостевых домов,"Боровицкая улица, 36Б/2",,610902,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89229932598,,,http://parkdubrovsky.ru/гостевые-дома,https://vk.com/dubrovskiyparkkirov,https://wa.me/79229932598,viber://chat/?number=79229932598,,,58.60739,49.812637,https://2gis.com/firm/70000001068933223
StrizHouse,база отдыха,Базы отдыха; Аренда беседок,"Центральная улица, 68",,613008,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,88332432023,89823832023,,,https://vk.com/striz_house,https://wa.me/79823832023,viber://chat/?number=79823832023,,,58.46251,49.288816,https://2gis.com/firm/8163303606023884
Анаста,база отдыха,Базы отдыха,"деревня Рыловщина, 42",,,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89513493434,,,,,https://wa.me/79513493434,,,,58.432436,49.934695,https://2gis.com/firm/70000001030629598
Башарово,компания по аренде коттеджа,Бани / Сауны; Аренда коттеджей / гостевых домов,"деревня Башарово, 16а",,610915,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,1,88332745576,,,,https://vk.com/basharovo43,https://wa.me/79539491916,viber://chat/?number=79642565576,,,58.507698,49.262362,https://2gis.com/firm/70000001025452649
В тишине,глэмпинг,Базы отдыха,"деревня Зяблец, 20",,,,,,Юрьянский район,Кировская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,89536734318,,,,https://vk.com/v_tishine_domik,https://wa.me/79536734318,viber://chat/?number=79536734318,https://t.me/+79536734318,,58.791737,49.549605,https://2gis.com/firm/70000001066676235
Оцм,база отдыха,Базы отдыха,"база отдыха завода ОЦМ улица, 11",,,,,,Кирово-Чепецкий район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89128270318,,,http://базаоцм.com,https://vk.com/baza.ocm.kirov,,,,,58.309653,49.766555,https://2gis.com/firm/70000001054557622
Великая,база отдыха,Базы отдыха,"деревня Никольская ГЭС, 7",,613622,,,,Юрьянский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89229222308,,,,https://vk.com/baza_velikaya,,,,,58.772345,49.207962,https://2gis.com/firm/70000001028477104
Река Великая,база отдыха,Базы отдыха; Кемпинги,"деревня Никольская ГЭС, 1а",,613622,,,,Юрьянский район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (нерабочие месяцы: октябрь-апрель),+03:00,,,88332788045,88332734519,,http://vmpavitec.ru/social/baza-otdykha-reka-velikaya,,,,,,58.770415,49.208149,https://2gis.com/firm/70000001020739907
