Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Трифон,гастропаб,Бары; Кафе,"Московская улица, 33а",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,4.4,37,88332220010,,,http://trifonbar.ru,,,https://vk.com/trifonbar,,,,,,58.603719,49.670795,https://2gis.com/firm/70000001043988868
Чайхана 84/46,,Рестораны; Кафе; Бары; Доставка готовых блюд,"улица Карла Маркса, 84а",цокольный этаж,610017,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,3.9,69,88332418446,,,http://chayhana-kirov.ru,,,https://vk.com/chayhana_kirov,,,,,,58.600078,49.668645,https://2gis.com/firm/70000001037822562
CubbyBar,,Кафе; Бары; Рестораны,"Орловская улица, 13",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.8,75,88332433500,89823833500,,http://cubbybar.ru,,,https://vk.com/cubbybar,https://wa.me/79823833500,,viber://chat/?number=79823833500,,,58.59641,49.685354,https://2gis.com/firm/70000001041805975
Пивной дворик,трактир,Рестораны; Кафе; Бары; Доставка готовых блюд,"Спасская улица, 41",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.0,79,88332647000,,,http://pivnoydvorik.ru,,,https://vk.com/pivnoydvorik43,,,,,,58.602126,49.673925,https://2gis.com/firm/8163302605591288
Руки ВВерх!,бар,Бары; Караоке-залы; Ночные клубы,"улица Карла Маркса, 99",,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-06:00; Вт: 18:00-06:00; Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+03:00,4.7,786,88332211599,,,http://rvbar.ru,,,https://vk.com/rvbar.kirov,,,,,,58.59501,49.66808,https://2gis.com/firm/70000001041847810
Самое Популярное Кафе Восток,,Кафе; Бары; Доставка готовых блюд; Банкетные залы,"улица Свободы, 11",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-03:00,+03:00,3.6,65,88007000025 (единая справочная: круглосуточно),,,http://spkcafe.ru,,,https://vk.com/spkkirov,,,,https://t.me/spkkirov,https://youtube.com/channel/UCvfKTl5Nj5Wa668LlcKVW7Q,58.61466,49.675502,https://2gis.com/firm/8163302605592639
Почта Крафт,бар,Бары; Кафе,"Преображенская улица, 35","1, 2 этаж",610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 12:00-01:00,+03:00,3.4,37,89615650579,,,http://bladbaher.ru/pochta-kraft,,,,,,,,,58.605493,49.673026,https://2gis.com/firm/70000001021137051
Jackie Brown,пивной паб,Бары; Кафе,"улица Карла Маркса, 101",цокольный этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-03:00; Вт: 11:00-03:00; Ср: 11:00-03:00; Чт: 11:00-03:00; Пт: 11:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+03:00,4.1,49,88332462533,,,,,,https://vk.com/jbpub,,,,,,58.59456,49.667428,https://2gis.com/firm/8163303606097679
БарЭль,,Бары; Кафе,"Московская улица, 52/2",цокольный этаж,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-02:00,+03:00,4.4,52,88332448579,89127348579,,http://vyatichbar.ru,,,https://vk.com/barel43,,,,,,58.603326,49.659929,https://2gis.com/firm/70000001022184436
Aroma Rooms Bar,,Бары; Кафе,"Октябрьский проспект, 92",3 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,3.1,22,88332444170,,,,,,https://vk.com/aroma_rooms,,,,,,58.592538,49.658682,https://2gis.com/firm/70000001019008366
Oblako,лаундж-бар,Бары,"улица Ленина, 89",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-01:00,+03:00,3.1,14,89226626333,,,,,,https://vk.com/oblako_bar,https://wa.me/79226626333,,,,,58.597498,49.681166,https://2gis.com/firm/70000001062791801
Panorama,лаундж-бар,Бары; Банкетные залы; Кафе; Доставка готовых блюд,"Профсоюзная улица, 1",18 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,3.3,86,88332332020 (служба бронирования столов),89229062020,,http://panoramakirov.ru,http://eventkirov.ru,,https://vk.com/panoramakirov,https://wa.me/79229062020,,viber://chat/?number=79229062020,,,58.615846,49.684314,https://2gis.com/firm/70000001024629110
Атмосфера,рок-бар,Бары; Караоке-залы; Кафе; Пиццерии,"Советская улица, 51",вход со двора,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Ср: 19:00-02:00; Чт: 19:00-02:00; Пт: 19:00-04:00; Сб: 19:00-04:00; Вс: 19:00-02:00,+03:00,4.4,53,89536782768,,,,,,https://vk.com/atmosfera_pub_kirov,,,,,,58.61341,49.668846,https://2gis.com/firm/70000001023915131
Арбат,гастрономический ресторан,Рестораны; Бары; Доставка готовых блюд,"Московская улица, 52/1",,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-02:00; Сб: 12:00-02:00; Вс: 12:00-22:00,+03:00,3.4,24,88332206307,,,http://bladbaher.ru/arbat,,,https://vk.com/public180769757,,,,,,58.603283,49.660685,https://2gis.com/firm/70000001036320453
Alibi,ночной клуб,Ночные клубы; Бары,"улица Ленина, 75",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-05:00; Вт: 18:00-05:00; Ср: 18:00-05:00; Чт: 18:00-05:00; Пт: 19:00-08:00; Сб: 19:00-08:00; Вс: 18:00-05:00,+03:00,3.5,8,89127250590,,,,,,,,,,https://t.me/alibibar43,,58.602607,49.680424,https://2gis.com/firm/70000001061371086
Blad Baher,пивной бар,Бары; Рестораны,"Московская улица, 4",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-05:00; Сб: 10:00-05:00; Вс: 10:00-23:00,+03:00,1.9,23,88332215707,,,http://bladbaher.ru,,,https://vk.com/bladbaher_official,,,,,,58.603422,49.683853,https://2gis.com/firm/8163302605586539
Омар Хайям 2.0,лаундж-бар,Бары; Ночные клубы,"Московская улица, 4",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,2.1,11,,,,,,,,,,,,,58.603247,49.682747,https://2gis.com/firm/70000001021769361
Friends,первый сырный бар,Рестораны; Бары; Кейтеринг; Доставка готовых блюд; Банкетные залы,"Октябрьский проспект, 120",цокольный этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-23:00,+03:00,3.6,42,88332787870,89229007870,,http://friends43.ru,,,https://vk.com/gastrobarkirov,https://wa.me/79229007870,,viber://chat/?number=79229007870,,,58.583889,49.659266,https://2gis.com/firm/70000001045206411
220V,бар,Бары,"Профсоюзная улица, 44",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 20:00-06:00; Вт: 20:00-06:00; Ср: 20:00-06:00; Чт: 20:00-06:00; Пт: 20:00-08:00; Сб: 20:00-08:00; Вс: 20:00-06:00,+03:00,3.7,20,88332752386,,,,,,https://vk.com/bar_220v,,,,,,58.614604,49.674012,https://2gis.com/firm/70000001023099070
Brugge tap room,бельгийский гастро-паб,Бары; Кафе,"Московская улица, 21",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.9,41,88332745300,,,,,,,,,,,,58.603828,49.676537,https://2gis.com/firm/70000001026555254
Lounge Dada,бар,Кафе; Бары,"Спасская улица, 67д",1 этаж,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-01:00,+03:00,4.7,80,89226687560,,,,,,https://vk.com/kk_dada,https://wa.me/79226687560,,viber://chat/?number=79226687560,,,58.602143,49.660144,https://2gis.com/firm/70000001022997917
13 Rules,бар,Бары,"Московская улица, 33а",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-24:00; Вт: 15:00-24:00; Ср: 15:00-24:00; Чт: 15:00-24:00; Пт: 15:00-03:00; Сб: 13:00-03:00; Вс: 13:00-24:00,+03:00,4.2,26,89091338013,,,,,,https://vk.com/13rules_kirov,,,,https://t.me/barkirov13,,58.603829,49.671125,https://2gis.com/firm/70000001032253048
Провино,бар,Бары; Рестораны; Доставка готовых блюд,"улица Ленина, 86",2 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.2,3,88332222702,,,http://provinoshop.ru,,,https://vk.com/barprovino,,,,,,58.601364,49.681453,https://2gis.com/firm/70000001055135351
Тот самый бар,,Бары; Кафе; Пиццерии,"Профсоюзная улица, 44а",,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,3.3,7,88332447552,,feedback.vyatichbar@gmail.com,http://вятичбар.рф,,,https://vk.com/totsamyibar43,https://wa.me/79128260042,,viber://chat/?number=79128260042,,,58.615029,49.673881,https://2gis.com/firm/70000001048107322
Вятич Спорт,бар,Бары; Кафе,"улица Труда, 74",1 этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.6,11,88332440951,,,http://вятичбар.рф,,,https://vk.com/vyatichbar,,,,,,58.608017,49.658813,https://2gis.com/firm/70000001007531275
Шашлыки,рюмочная,Бары; Кафе; Рюмочные,"улица Дерендяева, 33",1 этаж,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 16:00-24:00; Вт: 16:00-24:00; Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-24:00,+03:00,4.6,14,88332777202,,,,,,https://vk.com/rumkashashlyk,,,,,,58.603155,49.661513,https://2gis.com/firm/70000001059122445
Мануфактура,лофт-бар,Кафе; Бары,"Заводская улица, 41",1 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-24:00,+03:00,2.9,34,88332455161,,,http://manufaktura43.ru,,,https://vk.com/club47374041,,,,,,58.62169,49.681287,https://2gis.com/firm/8163302605699712
Rubinstein,паб,Бары,"Московская улица, 4",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+03:00,3.9,21,88332434440,,,,,,https://vk.com/rubinstein_pub,,,,,,58.603745,49.683431,https://2gis.com/firm/70000001030631951
SOLO 2.0,караоке-клуб,Караоке-залы; Бары; Кафе; Ночные клубы,"улица Свободы, 135",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 19:00-07:00; Вт: 19:00-07:00; Ср: 19:00-07:00; Чт: 19:00-07:00; Пт: 19:00-07:00; Сб: 19:00-07:00; Вс: 19:00-07:00,+03:00,3.9,21,88332205585,,,,,,https://vk.com/solokirov2,,,,,,58.588215,49.67749,https://2gis.com/firm/70000001055201205
ABC,коктейльный бар,Бары; Кафе,"Пятницкая улица, 56",1 этаж,610020,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,"Пн: 11:00-16:00; Вт: 11:00-16:00; Ср: 11:00-16:00, 19:00-02:00; Чт: 11:00-16:00, 19:00-02:00; Пт: 11:00-16:00, 19:00-04:00; Сб: 19:00-04:00; Вс: 19:00-02:00",+03:00,4.0,21,88332796196 (служба бронирования),,,,,,https://vk.com/cocktailbar_abc,,,,,,58.606556,49.666137,https://2gis.com/firm/70000001053194759
Granat,кафе,Кафе; Бары; Банкетные залы,"Пристанская улица, 1а",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-01:00,+03:00,2.6,43,89127341929,,,,,,https://vk.com/granat43,https://wa.me/79127341929,,,,,58.60948,49.688655,https://2gis.com/firm/8163302605621935
Альфа,ресторан,Рестораны; Банкетные залы; Организация и проведение праздников; Доставка готовых блюд; Бары,"Московская улица, 129а",1 этаж,610033,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.1,11,88332252020 (ресторан),88332252000 (ресепшен отеля),,http://alphakirov.ru,,,https://vk.com/alphakirov,https://wa.me/79229502020,,viber://chat/?number=79229502020,,,58.603177,49.622848,https://2gis.com/firm/70000001017333166
План пи,бар,Бары,"улица Дерендяева, 33",1 этаж,610020,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-22:00; Вт: 14:00-22:00; Ср: 14:00-22:00; Чт: 14:00-22:00; Пт: 14:00-24:00; Сб: 14:00-24:00; Вс: 14:00-22:00,+03:00,4.9,18,88332452314,,,,,,https://vk.com/planpivo,,,,,,58.603159,49.661752,https://2gis.com/firm/70000001027896393
PRB,панк-рок бар,Бары; Кафе,"Пристанская улица, 1",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-02:00,+03:00,2.0,3,89226699112,,,,,,https://vk.com/prb_kirov,,,,,,58.608057,49.689485,https://2gis.com/firm/70000001059979833
Современник,бар,Бары,"Московская улица, 21",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-03:00; Вт: 18:00-03:00; Ср: 18:00-03:00; Чт: 18:00-03:00; Пт: 18:00-03:00; Сб: 18:00-03:00; Вс: 18:00-03:00,+03:00,5.0,1,89195015744 (бронирование столов),,,,,,,,,,,,58.603859,49.676357,https://2gis.com/firm/70000001067779397
Don`t worry papa,,Бары; Кафе; Банкетные залы,"улица Северное кольцо, 48",,610006,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пт: 20:00-05:00; Сб: 20:00-05:00,+03:00,2.5,78,88332492120,,,,,,https://vk.com/papabarkirov,,,,,,58.626216,49.652592,https://2gis.com/firm/70000001021228120
Brave,лаундж-бар,Рестораны; Бары; Кафе,"улица Воровского, 12",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,3.7,6,88332460600,89128260600,,,,,,,,,,,58.593884,49.678337,https://2gis.com/firm/70000001040527630
Бильярд-Холл,,Бильярдные залы; Бары; Спортивно-развлекательное оборудование / Аксессуары; Кафе; Банкетные залы,"улица Горького, 5а",4 этаж; около касс киноцентра Кино Jam,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,3.8,27,88332268888,89635534003 (отдел продаж),,,,,https://vk.com/billiard_holl_kirov,https://wa.me/79635534003,,,,,58.598956,49.647596,https://2gis.com/firm/8163302605734130
Neon,развлекательный центр,Ночные клубы; Бары,"улица Ломоносова, 25",,610050,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 21:00-06:00; Вт: 21:00-06:00; Ср: 21:00-06:00; Чт: 21:00-06:00; Пт: 21:00-10:00; Сб: 21:00-10:00; Вс: 21:00-06:00,+03:00,4.7,242,88332250425,,,,,https://twitter.com/neonkirov,https://vk.com/neonkirov,,,,,https://youtube.com/channel/UChZTRpWTimgq0jv5FaV42EA,58.608109,49.609624,https://2gis.com/firm/8163302605586674
Underground,рок-бар,Бары,"улица Ленина, 83г",цокольный этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,2,88332476565,,,,,,,,,,,,58.599145,49.680855,https://2gis.com/firm/70000001020697427
Кабинет Чарушин,,Бары; Кафе; Банкетные залы,"улица Ленина, 80",2 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,3.3,3,88332651930,,,http://restoran-rossia.ru,,,https://vk.com/restaurantrussia,https://wa.me/79128279191,,,,,58.603994,49.682313,https://2gis.com/firm/8163302605586644
SOLO Первый,караоке-клуб,Караоке-залы; Кафе; Ночные клубы; Бары; Доставка готовых блюд,"Комсомольская улица, 40",,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 19:00-07:00; Вт: 19:00-07:00; Ср: 19:00-07:00; Чт: 19:00-07:00; Пт: 19:00-07:00; Сб: 19:00-07:00; Вс: 19:00-07:00,+03:00,2.9,24,88332210285,,,,,,https://vk.com/karaokesolokirov,,,,,,58.580399,49.657807,https://2gis.com/firm/8163303606068501
Blad Baher,пивной бар,Бары; Кафе,"улица Набережная Грина, 1",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.3,9,88332206308,,,http://bladbaher.ru,,,,,,,,,58.613615,49.684817,https://2gis.com/firm/8163302605682808
